DAuid,WPname,hav,distances
59151838,Hawthorne Park,6.220193578351644,7889.0
59151838,Guildford Town Centre Shopping Mall,4.609076055739423,8117.0
59151838,Fraser Heights Park,2.7423827276530983,4294.0
59151838,Lionel Park,4.0181457900178925,6498.0
59151838,Enver Creek Park,6.861289366955555,11546.0
59151838,Royal Canadian Mounted Police Guildford,5.3038857702087805,6947.0
59151838,Riverside Heights Shopping Centre Shopping Mall,5.330366368970368,7476.0
59151838,Surrey Bend Regional Park,1.138064396695854,3233.0
59151838,Hemlock Park,3.5076992481220706,7534.0
59151838,Fleetwood Park,5.278462633032503,9424.0
59151838,Surrey Lake Park,6.873146469570636,13773.0
59151838,Maple Green Park,5.474734884282916,9582.0
59151838,RCMP E-Division Headquarters,6.491119039160108,9987.0
59151838,Invergarry Bike Park,5.938176230944023,8488.0
59151838,Fraser View Park,3.457770894286732,5227.0
59151838,Bonnie Schrenk Park,4.050502509482505,9703.0
59151838,Tynehead Regional Park,1.8112088274764095,6774.0
59151838,Port Kells Park,4.810141932758193,7754.0
59151839,Hawthorne Park,6.395992298627333,8310.0
59151839,Guildford Town Centre Shopping Mall,4.764574147517044,7007.0
59151839,Fraser Heights Park,3.5659362466342315,5249.0
59151839,Lionel Park,3.871984522246677,5178.0
59151839,Enver Creek Park,5.597016177691296,8802.0
59151839,Royal Canadian Mounted Police Guildford,5.448616425770392,7227.0
59151839,Riverside Heights Shopping Centre Shopping Mall,5.791955415279629,8286.0
59151839,Surrey Bend Regional Park,2.984811195265234,4023.0
59151839,Hemlock Park,2.6977148068967822,4790.0
59151839,Fleetwood Park,3.546937904395707,6248.0
59151839,Surrey Lake Park,5.216891875531379,13000.0
59151839,Maple Green Park,4.5418813723131,6838.0
59151839,RCMP E-Division Headquarters,6.168948091776554,7243.0
59151839,Invergarry Bike Park,6.62451293500715,9128.0
59151839,Fraser View Park,4.685735817698171,6511.0
59151839,Bonnie Schrenk Park,2.1905689022880366,4255.0
59151839,Tynehead Regional Park,1.4100594308435603,1901.0
59151839,Port Kells Park,4.405255929649772,6727.0
59151840,Hawthorne Park,4.955216754387725,6702.0
59151840,Guildford Town Centre Shopping Mall,3.3449793274683874,5398.0
59151840,Fraser Heights Park,2.533719913590702,3641.0
59151840,Lionel Park,2.4165680829694134,3570.0
59151840,Enver Creek Park,4.50303452304212,6201.0
59151840,Royal Canadian Mounted Police Guildford,4.013542449970483,5618.0
59151840,Riverside Heights Shopping Centre Shopping Mall,4.431053202698235,6678.0
59151840,Surrey Bend Regional Park,3.5094077645174493,5631.0
59151840,Hemlock Park,1.278224202779625,2159.0
59151840,Fleetwood Park,3.053194878897939,4049.0
59151840,Surrey Lake Park,4.555431794612452,8447.0
59151840,Maple Green Park,3.223905360686191,4232.0
59151840,RCMP E-Division Headquarters,4.705291661893216,5635.0
59151840,Invergarry Bike Park,5.323568686350819,7520.0
59151840,Fraser View Park,3.785668101059005,4903.0
59151840,Bonnie Schrenk Park,2.1215051220777723,3322.0
59151840,Tynehead Regional Park,0.5954247998125604,1444.0
59151840,Port Kells Park,5.871401398246033,8334.0
59151841,Hawthorne Park,4.3664787251329775,5797.0
59151841,Guildford Town Centre Shopping Mall,2.761133465894403,4494.0
59151841,Fraser Heights Park,2.1600633266825096,2736.0
59151841,Lionel Park,1.8275413292818703,2665.0
59151841,Enver Creek Park,4.227892120319392,5997.0
59151841,Royal Canadian Mounted Police Guildford,3.425738106747362,4713.0
59151841,Riverside Heights Shopping Centre Shopping Mall,3.8636135095629673,5773.0
59151841,Surrey Bend Regional Park,3.7669918581664654,5307.0
59151841,Hemlock Park,0.8468403643439867,1956.0
59151841,Fleetwood Park,3.149111146261626,3846.0
59151841,Surrey Lake Park,4.513719002904244,8516.0
59151841,Maple Green Park,2.818039027210996,4325.0
59151841,RCMP E-Division Headquarters,4.145070187049313,4730.0
59151841,Invergarry Bike Park,4.775059132293477,6615.0
59151841,Fraser View Park,3.433249772285794,3998.0
59151841,Bonnie Schrenk Park,2.4566564382785425,3119.0
59151841,Tynehead Regional Park,0.8837669801211983,1120.0
59151841,Port Kells Park,6.443739967395503,8010.0
59151842,Hawthorne Park,4.313136799445146,5912.0
59151842,Guildford Town Centre Shopping Mall,2.7588690012844177,4622.0
59151842,Fraser Heights Park,2.43849749787378,2850.0
59151842,Lionel Park,1.774789617141618,3002.0
59151842,Enver Creek Park,3.855972749808464,5522.0
59151842,Royal Canadian Mounted Police Guildford,3.3898210603823573,4828.0
59151842,Riverside Heights Shopping Centre Shopping Mall,3.908517733189109,5462.0
59151842,Surrey Bend Regional Park,4.13183250446466,5823.0
59151842,Hemlock Park,0.5145008398234592,1480.0
59151842,Fleetwood Park,2.8169333163750947,3370.0
59151842,Surrey Lake Park,4.14292962389466,7768.0
59151842,Maple Green Park,2.4836906640917262,3553.0
59151842,RCMP E-Division Headquarters,3.956714433340688,4845.0
59151842,Invergarry Bike Park,4.8550281731012745,6729.0
59151842,Fraser View Park,3.709258963672359,4112.0
59151842,Bonnie Schrenk Park,2.2499603054352524,3476.0
59151842,Tynehead Regional Park,1.21454266180868,1636.0
59151842,Port Kells Park,6.61831319584441,8527.0
59151843,Hawthorne Park,3.528115976609298,4922.0
59151843,Guildford Town Centre Shopping Mall,2.0221171685001096,3618.0
59151843,Fraser Heights Park,2.2385175736934064,2696.0
59151843,Lionel Park,1.0165141863964744,1789.0
59151843,Enver Creek Park,3.5405637357671518,5414.0
59151843,Royal Canadian Mounted Police Guildford,2.6185973871651176,3838.0
59151843,Riverside Heights Shopping Centre Shopping Mall,3.204426286782261,4898.0
59151843,Surrey Bend Regional Park,4.60405778183785,6254.0
59151843,Hemlock Park,0.4877270373191558,2196.0
59151843,Fleetwood Park,3.1218440193633024,4085.0
59151843,Surrey Lake Park,4.1855443523266445,7641.0
59151843,Maple Green Park,1.9801332172949409,3450.0
59151843,RCMP E-Division Headquarters,3.174780097538727,3855.0
59151843,Invergarry Bike Park,4.18320524076443,5739.0
59151843,Fraser View Park,3.4422778162887004,3958.0
59151843,Bonnie Schrenk Park,2.8734621258293034,4191.0
59151843,Tynehead Regional Park,1.841223058492424,2067.0
59151843,Port Kells Park,7.401936259835459,8957.0
59151844,Hawthorne Park,3.6503244461680735,5042.0
