DAuid,WPname,distance
59151838,Bear Creek Park,12244
59151838,Walmart Supercenter (88ave),14881
59151838,Big plaza at 88 and scott road,20087
59151838,LA Matheson Secondary School/Moffat Park,19080
59151838,Tannery Park,16862
59151838,Brownville Pub,15694
59151838,Aria Banquet Convention Center,14967
59151838,Bridgeview Park,14351
59151838,Bolivar Park,13899
59151838,Scott Road Skytrain,15034
59151838,Surrey memorial parking,10853
59151838,David Brankin Elementary School/William Beagle Park,13240
59151838,Cedar Hills Shopping Center,12428
59151838,Holland Park,11699
59151838,Central City Shopping mall,10277
59151838,Kwantlen Park,10734
59151838,King George Skytrain,10907
59151838,Surrey Central,9653
59151838,APH Matthew Park,11691
59151839,Bear Creek Park,9500
59151839,Walmart Supercenter (88ave),12137
59151839,Big plaza at 88 and scott road,12920
59151839,LA Matheson Secondary School/Moffat Park,11098
59151839,Tannery Park,17348
59151839,Brownville Pub,16179
59151839,Aria Banquet Convention Center,15452
59151839,Bridgeview Park,14836
59151839,Bolivar Park,14384
59151839,Scott Road Skytrain,15519
59151839,Surrey memorial parking,8109
59151839,David Brankin Elementary School/William Beagle Park,10496
59151839,Cedar Hills Shopping Center,9684
59151839,Holland Park,10429
59151839,Central City Shopping mall,8880
59151839,Kwantlen Park,10342
59151839,King George Skytrain,8163
59151839,Surrey Central,9294
59151839,APH Matthew Park,8947
59151840,Bear Creek Park,6801
59151840,Walmart Supercenter (88ave),9438
59151840,Big plaza at 88 and scott road,10423
59151840,LA Matheson Secondary School/Moffat Park,9490
59151840,Tannery Park,18955
59151840,Brownville Pub,17787
59151840,Aria Banquet Convention Center,17060
59151840,Bridgeview Park,16444
59151840,Bolivar Park,15992
59151840,Scott Road Skytrain,17127
59151840,Surrey memorial parking,6500
59151840,David Brankin Elementary School/William Beagle Park,8888
59151840,Cedar Hills Shopping Center,8076
59151840,Holland Park,8821
59151840,Central City Shopping mall,7272
59151840,Kwantlen Park,8734
59151840,King George Skytrain,6554
59151840,Surrey Central,7686
59151840,APH Matthew Park,7339
59151841,Bear Creek Park,6987
