DAuid,WPname,hav,distances
59151838,Crescent Beach,17.574241770738897,17574.241770738896
59151838,Crescent Park,17.72301388713073,17723.013887130728
59151838,South Meridian Park,18.09574721196563,18095.74721196563
59151838,Kwomais Point Park,20.012261001113743,20012.261001113744
59151838,South Surrey Athletic Park,17.377384479228702,17377.384479228702
59151838,Peace Arch Hospital,17.841484345498046,17841.484345498047
59151838,Peace Arch Provincial Park,20.20266309770551,20202.66309770551
59151838,Redwood Park,16.846645041123374,16846.645041123375
59151838,Latimer Park,15.52070315247251,15520.70315247251
59151838,Dr. RJ Allan Hogg Rotary Park,18.522699892131197,18522.699892131197
59151838,Dogwood Park,18.28139794555767,18281.39794555767
59151838,Semiahmoo Shopping Centre,17.756388034630625,17756.388034630625
59151838,Centennial Park,18.381936394824724,18381.936394824723
59151838,Blumsen Park,14.210588184692481,14210.588184692482
59151838,The Shops at Morgan Crossing Outlet,15.76548051902322,15765.48051902322
59151838,Elgin Heritage Park,15.493772104436147,15493.772104436146
59151838,South Surrey RCMP,17.487942135709087,17487.942135709087
59151839,Crescent Beach,15.802282282408708,15802.282282408707
59151839,Crescent Park,15.874283213221496,15874.283213221495
59151839,South Meridian Park,16.13037044314295,16130.37044314295
59151839,Kwomais Point Park,18.13078703042719,18130.78703042719
59151839,South Surrey Athletic Park,15.42669211141962,15426.69211141962
59151839,Peace Arch Hospital,15.871853024854309,15871.853024854308
59151839,Peace Arch Provincial Park,18.25165623521467,18251.656235214672
59151839,Redwood Park,14.953849829365325,14953.849829365325
59151839,Latimer Park,13.755285043248625,13755.285043248625
59151839,Dr. RJ Allan Hogg Rotary Park,16.55281483800169,16552.81483800169
59151839,Dogwood Park,16.380380161532607,16380.380161532607
59151839,Semiahmoo Shopping Centre,15.790749960159577,15790.749960159577
59151839,Centennial Park,16.425034448904718,16425.034448904717
59151839,Blumsen Park,12.247641001865667,12247.641001865666
59151839,The Shops at Morgan Crossing Outlet,13.795427468286046,13795.427468286047
59151839,Elgin Heritage Park,13.626920301725587,13626.920301725588
59151839,South Surrey RCMP,15.521537661116147,15521.537661116146
59151840,Crescent Beach,15.278028153830364,15278.028153830364
59151840,Crescent Park,15.498788760171825,15498.788760171825
59151840,South Meridian Park,16.404850143054382,16404.850143054384
59151840,Kwomais Point Park,17.829231459321957,17829.231459321956
59151840,South Surrey Athletic Park,15.38096459825193,15380.96459825193
59151840,Peace Arch Hospital,16.009867974661766,16009.867974661765
59151840,Peace Arch Provincial Park,18.623048332599648,18623.048332599647
59151840,Redwood Park,15.544381449864497,15544.381449864497
59151840,Latimer Park,14.590182938510214,14590.182938510214
59151840,Dr. RJ Allan Hogg Rotary Park,16.699698254626583,16699.698254626583
59151840,Dogwood Park,16.137214296687105,16137.214296687105
59151840,Semiahmoo Shopping Centre,15.857728715621365,15857.728715621364
59151840,Centennial Park,16.41417154701796,16414.171547017962
59151840,Blumsen Park,12.304283771972964,12304.283771972963
59151840,The Shops at Morgan Crossing Outlet,13.970860990986804,13970.860990986805
