INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER
Break and Enter - Business,10200 GRACE RD,1,2019,19-252
Break and Enter - Business,13500 106TH AVE,1,2019,19-649
Break and Enter - Business,10400 UNIVERSITY DR,1,2019,19-1744
Break and Enter - Business,9800 140TH ST,1,2019,19-2943
Break and Enter - Business,13500 105TH AVE,1,2019,19-3136
Break and Enter - Business,10500 124TH ST,1,2019,19-3185
Break and Enter - Business,13400 108TH AVE,1,2019,19-3209
Break and Enter - Business,13500 96TH AVE,1,2019,19-3859
Break and Enter - Business,10300 KING GEORGE BLVD,1,2019,19-4116
Break and Enter - Business,10500 KING GEORGE BLVD,1,2019,19-4169
Break and Enter - Business,12800 KING GEORGE BLVD,1,2019,19-5199
Break and Enter - Business,10600 135A ST,1,2019,19-5921
Break and Enter - Business,13300 104TH AVE,1,2019,19-6627
Break and Enter - Business,13500 96TH AVE,1,2019,19-6867
Break and Enter - Business,10200 128TH ST,1,2019,19-7324
Break and Enter - Business,13200 OLD YALE RD,1,2019,19-7480
Break and Enter - Business,10000 GRACE RD,1,2019,19-7957
Break and Enter - Business,10600 SCOTT RD,1,2019,19-8290
Break and Enter - Business,10300 SCOTT RD,1,2019,19-8449
Break and Enter - Business,13400 102ND AVE,1,2019,19-8942
Break and Enter - Business,12000 104TH AVE,1,2019,19-9147
Break and Enter - Business,9900 WHALLEY BLVD,1,2019,19-9457
Break and Enter - Business,13700 100TH AVE,1,2019,19-9491
Break and Enter - Business,13800 102ND AVE,1,2019,19-9560
Break and Enter - Business,13200 OLD YALE RD,1,2019,19-9561
Break and Enter - Business,12200 KING GEORGE BLVD,1,2019,19-10327
Break and Enter - Business,12200 104TH AVE,1,2019,19-10365
Break and Enter - Business,12500 KING GEORGE BLVD,1,2019,19-10812
Break and Enter - Business,13400 102ND AVE,1,2019,19-11417
Break and Enter - Business,10500 KING GEORGE BLVD,1,2019,19-11456
Break and Enter - Business,13400 104TH AVE,1,2019,19-11637
Break and Enter - Business,10400 132ND ST,1,2019,19-12011
Break and Enter - Business,9200 121ST ST,1,2019,19-12366
Break and Enter - Business,9600 137A ST,1,2019,19-13829
Break and Enter - Business,9600 137A ST,1,2019,19-13898
Break and Enter - Business,13400 KING GEORGE BLVD,1,2019,19-14533
Break and Enter - Business,13300 OLD YALE RD,1,2019,19-14917
Break and Enter - Business,10500 135A ST,1,2019,19-15611
Break and Enter - Residence,8800 128TH ST,1,2019,19-3159
Break and Enter - Residence,10100 129TH ST,1,2019,19-4106
Break and Enter - Residence,13400 96TH AVE,1,2019,19-4970
Break and Enter - Residence,11500 RIVER RD,1,2019,19-5781
Break and Enter - Residence,13200 OLD YALE RD,1,2019,19-5938
Break and Enter - Residence,9700 132ND ST,1,2019,19-6484
Break and Enter - Residence,9500 132A ST,1,2019,19-6950
Break and Enter - Residence,12600 91ST AVE,1,2019,19-7288
Break and Enter - Residence,13800 LAUREL DR,1,2019,19-9162
Break and Enter - Residence,104TH AVE / SCOTT RD,1,2019,19-10974
Break and Enter - Residence,13400 KING GEORGE BLVD,1,2019,19-12585
Break and Enter - Residence,12200 98A AVE,1,2019,19-12891
Break and Enter - Residence,11700 96A AVE,1,2019,19-13512
Break and Enter - Residence,12700 90TH AVE,1,2019,19-13781
Break and Enter - Residence,13600 105TH AVE,1,2019,19-14082
Break and Enter - Residence,9600 137A ST,1,2019,19-14086
Break and Enter - Residence,14600 90TH AVE,1,2019,19-14172
Break and Enter - Residence,13100 103RD AVE,1,2019,19-15792
Break and Enter - Business,10300 152ND ST,1,2019,19-123
Break and Enter - Business,16400 FRASER HWY,1,2019,19-267
Break and Enter - Business,15600 104TH AVE,1,2019,19-746
Break and Enter - Business,7700 168TH ST,1,2019,19-1114
Break and Enter - Business,10000 148TH ST,1,2019,19-1157
Break and Enter - Business,15300 94TH AVE,1,2019,19-2027
Break and Enter - Business,10100 152A ST,1,2019,19-5124
Break and Enter - Business,10100 152A ST,1,2019,19-5160
Break and Enter - Business,10300 152ND ST,1,2019,19-6217
Break and Enter - Business,14900 101A AVE,1,2019,19-6529
Break and Enter - Business,9300 160TH ST,1,2019,19-8292
Break and Enter - Business,15400 104TH AVE,1,2019,19-8305
Break and Enter - Business,10000 152ND ST,1,2019,19-9372
Break and Enter - Business,10200 153RD ST,1,2019,19-10795
Break and Enter - Business,15300 104TH AVE,1,2019,19-10815
Break and Enter - Business,15300 104TH AVE,1,2019,19-10824
Break and Enter - Business,15300 104TH AVE,1,2019,19-10825
Break and Enter - Business,15300 101ST AVE,1,2019,19-11413
Break and Enter - Business,9100 FLEETWOOD WAY,1,2019,19-12519
Break and Enter - Business,14700 104TH AVE,1,2019,19-13114
Break and Enter - Business,9600 148TH ST,1,2019,19-13608
Break and Enter - Business,15300 GUILDFORD DR,1,2019,19-15043
Break and Enter - Business,15100 FRASER HWY,1,2019,19-15094
Break and Enter - Residence,14900 101A AVE,1,2019,19-883
Break and Enter - Residence,10000 150TH ST,1,2019,19-1656
Break and Enter - Residence,10000 153RD ST,1,2019,19-1989
Break and Enter - Residence,14000 115A AVE,1,2019,19-2517
Break and Enter - Residence,15400 86TH AVE,1,2019,19-2712
Break and Enter - Residence,10000 161ST ST,1,2019,19-3096
Break and Enter - Residence,14000 104TH AVE,1,2019,19-3395
Break and Enter - Residence,16100 110A AVE,1,2019,19-5622
Break and Enter - Residence,16200 79A AVE,1,2019,19-5700
Break and Enter - Residence,15600 96TH AVE,1,2019,19-7126
Break and Enter - Residence,10700 168TH ST,1,2019,19-7467
Break and Enter - Residence,15000 85A AVE,1,2019,19-8244
Break and Enter - Residence,10300 158A ST,1,2019,19-9914
Break and Enter - Residence,10700 146TH ST,1,2019,19-9922
Break and Enter - Residence,15700 104TH AVE,1,2019,19-10486
Break and Enter - Residence,15300 105TH AVE,1,2019,19-12511
Break and Enter - Residence,10000 144TH ST,1,2019,19-13415
Break and Enter - Residence,14900 101A AVE,1,2019,19-13821
Break and Enter - Residence,15400 101A AVE,1,2019,19-15469
Break and Enter - Business,12300 88TH AVE,1,2019,19-1117
Break and Enter - Business,6300 121ST ST,1,2019,19-1628
Break and Enter - Business,7100 128TH ST,1,2019,19-4073
Break and Enter - Business,12000 64TH AVE,1,2019,19-4196
Break and Enter - Business,7100 128TH ST,1,2019,19-4568
Break and Enter - Business,12800 85TH AVE,1,2019,19-4608
Break and Enter - Business,12900 80TH AVE,1,2019,19-4659
Break and Enter - Business,12300 88TH AVE,1,2019,19-5262
Break and Enter - Business,12500 82ND AVE,1,2019,19-5812
Break and Enter - Business,7400 KING GEORGE BLVD,1,2019,19-6877
Break and Enter - Business,13100 88TH AVE,1,2019,19-7028
Break and Enter - Business,12700 80TH AVE,1,2019,19-8318
Break and Enter - Business,7400 KING GEORGE BLVD,1,2019,19-8760
Break and Enter - Business,15300 67TH AVE,1,2019,19-10370
Break and Enter - Business,8300 124TH ST,1,2019,19-11078
Break and Enter - Business,12700 80TH AVE,1,2019,19-11447
Break and Enter - Business,8300 124TH ST,1,2019,19-11620
Break and Enter - Business,15000 64TH AVE,1,2019,19-13996
Break and Enter - Business,8000 KING GEORGE BLVD,1,2019,19-14215
Break and Enter - Business,13100 80TH AVE,1,2019,19-14610
Break and Enter - Residence,14100 72ND AVE,1,2019,19-598
Break and Enter - Residence,5900 135A ST,1,2019,19-2152
Break and Enter - Residence,14000 59A AVE,1,2019,19-3032
Break and Enter - Residence,7100 151ST ST,1,2019,19-3939
Break and Enter - Residence,14200 64TH AVE,1,2019,19-4115
Break and Enter - Residence,6200 KING GEORGE BLVD,1,2019,19-4666
Break and Enter - Residence,13000 64TH AVE,1,2019,19-8995
Break and Enter - Residence,6200 129TH ST,1,2019,19-9664
Break and Enter - Residence,7900 REDTAIL PL,1,2019,19-10214
Break and Enter - Residence,5800 129TH ST,1,2019,19-11205
Break and Enter - Residence,13100 58A AVE,1,2019,19-11613
Break and Enter - Residence,14300 78TH AVE,1,2019,19-11846
Break and Enter - Residence,5300 125A ST,1,2019,19-11888
Break and Enter - Residence,14700 61A AVE,1,2019,19-12130
Break and Enter - Residence,6900 142ND ST,1,2019,19-12810
Break and Enter - Residence,7800 KING GEORGE BLVD,1,2019,19-13877
Break and Enter - Residence,8700 143A ST,1,2019,19-15951
Break and Enter - Residence,12800 65TH AVE,1,2019,19-7186
Break and Enter - Residence,14100 61ST AVE,1,2019,19-6993
Break and Enter - Business,17600 66A AVE,1,2019,19-487
Break and Enter - Business,18500 96TH AVE,1,2019,19-593
Break and Enter - Business,17700 56A AVE,1,2019,19-760
Break and Enter - Business,18700 96TH AVE,1,2019,19-1880
Break and Enter - Business,19500 LANGLEY BPS,1,2019,19-2639
Break and Enter - Business,5500 192ND ST,1,2019,19-3173
Break and Enter - Business,5200 192ND ST,1,2019,19-5419
Break and Enter - Business,19300 LANGLEY BPS,1,2019,19-7425
Break and Enter - Business,19200 60TH AVE,1,2019,19-7455
Break and Enter - Business,5600 176A ST,1,2019,19-8356
Break and Enter - Business,18500 96TH AVE,1,2019,19-9904
Break and Enter - Business,17700 64TH AVE,1,2019,19-10826
Break and Enter - Business,9500 192ND ST,1,2019,19-10827
Break and Enter - Business,5900 ENTERPRISE WAY,1,2019,19-11370
Break and Enter - Business,18500 97TH AVE,1,2019,19-13116
Break and Enter - Business,18700 96TH AVE,1,2019,19-15162
Break and Enter - Business,17700 56TH AVE,1,2019,19-15526
Break and Enter - Residence,18600 68TH AVE,1,2019,19-586
Break and Enter - Residence,6800 192A ST,1,2019,19-765
Break and Enter - Residence,5600 187TH ST,1,2019,19-1106
Break and Enter - Residence,9000 HARVIE RD,1,2019,19-1313
Break and Enter - Residence,6300 192ND ST,1,2019,19-2836
Break and Enter - Residence,18900 68TH AVE,1,2019,19-4798
Break and Enter - Residence,5900 177B ST,1,2019,19-5815
Break and Enter - Residence,6100 180TH ST,1,2019,19-6148
Break and Enter - Residence,6400 184A ST,1,2019,19-6361
Break and Enter - Residence,7900 192ND ST,1,2019,19-10131
Break and Enter - Residence,18500 LAURENSEN PL,1,2019,19-10777
Break and Enter - Residence,16300 64TH AVE,1,2019,19-10843
Break and Enter - Residence,19300 76TH AVE,1,2019,19-12065
Break and Enter - Residence,7100 192ND ST,1,2019,19-13646
Break and Enter - Residence,18900 68TH AVE,1,2019,19-15373
Break and Enter - Business,2600 151ST ST,1,2019,19-1879
Break and Enter - Business,19000 22ND AVE,1,2019,19-2311
Break and Enter - Business,13900 16TH AVE,1,2019,19-11264
Break and Enter - Residence,15400 34A AVE,1,2019,19-1710
Break and Enter - Residence,15700 WILLS BROOK WAY,1,2019,19-3188
Break and Enter - Residence,15900 32ND AVE,1,2019,19-3595
Break and Enter - Residence,15700 23B AVE,1,2019,19-3824
Break and Enter - Residence,2300 174TH ST,1,2019,19-5179
Break and Enter - Residence,15000 28TH AVE,1,2019,19-5483
Break and Enter - Residence,1400 126A ST,1,2019,19-6696
Break and Enter - Residence,2700 NORTHCREST DR,1,2019,19-7372
Break and Enter - Residence,168TH ST / 16TH AVE,1,2019,19-9410
Break and Enter - Residence,2700 CRANLEY DR,1,2019,19-11088
Break and Enter - Residence,13900 16TH AVE,1,2019,19-11094
Break and Enter - Residence,13900 16TH AVE,1,2019,19-11139
Break and Enter - Residence,3100 160TH ST,1,2019,19-12405
Break and Enter - Residence,2100 124TH ST,1,2019,19-13099
Break and Enter - Residence,17500 28B AVE,1,2019,19-13271
Break and Enter - Residence,2800 176TH ST,1,2019,19-13630
Break and Enter - Residence,1600 AMBLE GREENE DR,1,2019,19-13878
Break and Enter - Residence,12600 19TH AVE,1,2019,19-14055
Theft from Motor Vehicle,13900 91A AVE,1,2019,19-3640
Theft from Motor Vehicle,13400 KING GEORGE BLVD,1,2019,19-7452
Theft from Motor Vehicle,12700 113B AVE,1,2019,19-13230
Theft from Motor Vehicle,10400 UNIVERSITY DR,1,2019,19-1744
Theft from Motor Vehicle,19000 94TH AVE,1,2019,19-7560
Theft from Motor Vehicle,6300 190TH ST,1,2019,19-9976
Shoplifting,108TH AVE / CITY PKWY,1,2019,19-4728
Theft of Motor Vehicle,105A AVE / UNIVERSITY DR,1,2019,19-3063
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2019,19-5347
Theft of Motor Vehicle,13800 FRASER HWY,1,2019,19-7863
Theft of Motor Vehicle,13700 92ND AVE,1,2019,19-10958
Theft of Motor Vehicle,122ND ST / 104TH AVE,1,2019,19-11427
Theft of Motor Vehicle,9900 124A ST,1,2019,19-11435
Theft of Motor Vehicle,12300 100A AVE,1,2019,19-11961
Theft of Motor Vehicle,13700 96TH AVE,1,2019,19-13753
Theft of Motor Vehicle,13500 105TH AVE,1,2019,19-14127
Theft of Motor Vehicle,12100 103A AVE,1,2019,19-15247
Theft of Motor Vehicle,11900 OLD YALE RD,1,2019,19-7693
Theft of Motor Vehicle,10200 124A ST,1,2019,19-9421
Theft of Motor Vehicle,13600 BENTLEY RD,1,2019,19-15073
Theft of Motor Vehicle,12800 92A AVE,1,2019,19-583
Theft of Motor Vehicle,105TH AVE / KING GEORGE BLVD,1,2019,19-846
Theft of Motor Vehicle,13200 89A AVE,1,2019,19-1076
Theft of Motor Vehicle,133A ST / 102A AVE,1,2019,19-1342
Theft of Motor Vehicle,13700 92ND AVE,1,2019,19-1631
Theft of Motor Vehicle,10200 133RD ST,1,2019,19-1640
Theft of Motor Vehicle,12000 100TH AVE,1,2019,19-2757
Theft of Motor Vehicle,13300 BLOCK 100A AVE,1,2019,19-3204
Theft of Motor Vehicle,10500 127TH ST,1,2019,19-3344
Theft of Motor Vehicle,13300 105A AVE,1,2019,19-4037
Theft of Motor Vehicle,9300 MONKLAND PL,1,2019,19-4121
Theft of Motor Vehicle,12500 96A AVE,1,2019,19-6784
Theft of Motor Vehicle,10900 132ND ST,1,2019,19-6804
Theft of Motor Vehicle,10600 139TH ST,1,2019,19-6826
Theft of Motor Vehicle,13400 113TH AVE,1,2019,19-7354
Theft of Motor Vehicle,10100 MARY DR,1,2019,19-7374
Theft of Motor Vehicle,12700 112A AVE,1,2019,19-7398
Theft of Motor Vehicle,12400 PARK DR,1,2019,19-8341
Theft of Motor Vehicle,OLD YALE RD / 132ND ST,1,2019,19-8355
Theft of Motor Vehicle,129TH ST / 104TH AVE,1,2019,19-9986
Theft of Motor Vehicle,10600 124TH ST,1,2019,19-10381
Theft of Motor Vehicle,126TH ST / 92ND AVE,1,2019,19-10537
Theft of Motor Vehicle,9200 STUART CRES,1,2019,19-11087
Theft of Motor Vehicle,13700 88TH AVE,1,2019,19-11405
Theft of Motor Vehicle,12600 114TH AVE,1,2019,19-11455
Theft of Motor Vehicle,9400 128TH ST,1,2019,19-12478
Theft of Motor Vehicle,137A ST / 100TH AVE,1,2019,19-13652
Theft of Motor Vehicle,9300 127TH ST,1,2019,19-13653
Theft of Motor Vehicle,13800 LAUREL DR,1,2019,19-13673
Theft of Motor Vehicle,96TH AVE / 134A ST,1,2019,19-13701
Theft of Motor Vehicle,10600 WHALLEY BLVD,1,2019,19-14100
Theft of Motor Vehicle,10700 139TH ST,1,2019,19-15624
Theft of Motor Vehicle,13700 108TH AVE,1,2019,19-15900
Theft of Motor Vehicle,13700 BENTLEY RD,1,2019,19-3169
Theft of Motor Vehicle,12600 98TH AVE,1,2019,19-5770
Theft of Motor Vehicle,12600 96A AVE,1,2019,19-6762
Theft of Motor Vehicle,13000 110TH AVE,1,2019,19-8939
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2019,19-12597
Theft of Motor Vehicle,9600 123RD ST,1,2019,19-13583
Theft of Motor Vehicle,13100 115TH AVE,1,2019,19-15277
Theft of Motor Vehicle,126TH ST / 104TH AVE,1,2019,19-12853
Theft of Motor Vehicle,100TH AVE / 148TH ST,1,2019,19-416
Theft of Motor Vehicle,8100 152ND ST,1,2019,19-834
Theft of Motor Vehicle,10700 141A ST,1,2019,19-2148
Theft of Motor Vehicle,10600 141A ST,1,2019,19-2662
Theft of Motor Vehicle,10400 144TH ST,1,2019,19-2674
Theft of Motor Vehicle,FRASER HWY / 160TH ST,1,2019,19-3984
Theft of Motor Vehicle,16700 80TH AVE,1,2019,19-5168
Theft of Motor Vehicle,14200 MELROSE DR,1,2019,19-7380
Theft of Motor Vehicle,14000 102ND AVE,1,2019,19-7855
Theft of Motor Vehicle,15800 104TH AVE,1,2019,19-11947
Theft of Motor Vehicle,9600 148TH ST,1,2019,19-13682
Theft of Motor Vehicle,15800 92A AVE,1,2019,19-2690
Theft of Motor Vehicle,9400 158A ST,1,2019,19-3508
Theft of Motor Vehicle,15700 97TH AVE,1,2019,19-9935
Theft of Motor Vehicle,11400 139TH ST,1,2019,19-665
Theft of Motor Vehicle,15000 84TH AVE,1,2019,19-1830
Theft of Motor Vehicle,10000 150TH ST,1,2019,19-2468
Theft of Motor Vehicle,8300 164TH ST,1,2019,19-2751
Theft of Motor Vehicle,15100 108TH AVE,1,2019,19-4173
Theft of Motor Vehicle,14500 CHARTWELL DR,1,2019,19-5313
Theft of Motor Vehicle,9800 149TH ST,1,2019,19-6896
Theft of Motor Vehicle,16200 BLOCK 88TH AVE,1,2019,19-7526
Theft of Motor Vehicle,9400 160TH ST,1,2019,19-7845
Theft of Motor Vehicle,14500 105A AVE,1,2019,19-8601
Theft of Motor Vehicle,8800 150A ST,1,2019,19-8900
Theft of Motor Vehicle,9900 151ST ST,1,2019,19-9461
Theft of Motor Vehicle,15200 TRANS CANADA HWY,1,2019,19-9920
Theft of Motor Vehicle,16000 98B AVE,1,2019,19-10841
Theft of Motor Vehicle,15800 100TH AVE,1,2019,19-11141
Theft of Motor Vehicle,8200 154B ST,1,2019,19-11441
Theft of Motor Vehicle,8100 156A ST,1,2019,19-11615
Theft of Motor Vehicle,10500 150TH ST,1,2019,19-11993
Theft of Motor Vehicle,15800 89TH AVE,1,2019,19-13093
Theft of Motor Vehicle,16600 79B AVE,1,2019,19-13780
Theft of Motor Vehicle,15900 83RD AVE,1,2019,19-15115
Theft of Motor Vehicle,8600 156TH ST,1,2019,19-15549
Theft of Motor Vehicle,16200 92ND AVE,1,2019,19-15728
Theft of Motor Vehicle,14800 107A AVE,1,2019,19-16035
Theft of Motor Vehicle,10100 157A ST,1,2019,19-1086
Theft of Motor Vehicle,16700 80TH AVE,1,2019,19-3256
Theft of Motor Vehicle,14200 110TH AVE,1,2019,19-7197
Theft of Motor Vehicle,14200 110TH AVE,1,2019,19-10378
Theft of Motor Vehicle,86A AVE / 159TH ST,1,2019,19-4131
Theft of Motor Vehicle,13500 80TH AVE,1,2019,19-2153
Theft of Motor Vehicle,13400 63RD AVE,1,2019,19-2220
Theft of Motor Vehicle,125TH ST / 75A AVE,1,2019,19-4871
Theft of Motor Vehicle,13000 80TH AVE,1,2019,19-7390
Theft of Motor Vehicle,13500 72ND AVE,1,2019,19-9450
Theft of Motor Vehicle,12800 85TH AVE,1,2019,19-4608
Theft of Motor Vehicle,13500 84TH AVE,1,2019,19-9053
Theft of Motor Vehicle,13100 67A AVE,1,2019,19-11410
Theft of Motor Vehicle,8300 135A ST,1,2019,19-12812
Theft of Motor Vehicle,12900 80TH AVE,1,2019,19-4659
Theft of Motor Vehicle,12600 59A AVE,1,2019,19-14588
Theft of Motor Vehicle,14300 84A AVE,1,2019,19-2655
Theft of Motor Vehicle,14900 59A AVE,1,2019,19-4216
Theft of Motor Vehicle,6800 144A ST,1,2019,19-5187
Theft of Motor Vehicle,14100 BLOCK 64A AVE,1,2019,19-5216
Theft of Motor Vehicle,121ST ST / 66TH AVE,1,2019,19-5332
Theft of Motor Vehicle,12700 64TH AVE,1,2019,19-5395
Theft of Motor Vehicle,6200 136TH ST,1,2019,19-5952
Theft of Motor Vehicle,15200 56TH AVE,1,2019,19-8264
Theft of Motor Vehicle,5900 125TH ST,1,2019,19-8363
Theft of Motor Vehicle,137A ST / 67TH AVE,1,2019,19-9256
Theft of Motor Vehicle,6100 136TH ST,1,2019,19-9408
Theft of Motor Vehicle,7000 127A ST,1,2019,19-9941
Theft of Motor Vehicle,6800 127A ST,1,2019,19-10821
Theft of Motor Vehicle,13000 65B AVE,1,2019,19-10867
Theft of Motor Vehicle,5900 129B ST,1,2019,19-10900
Theft of Motor Vehicle,13400 87A AVE,1,2019,19-13069
Theft of Motor Vehicle,7600 120A ST,1,2019,19-13103
Theft of Motor Vehicle,12900 61ST AVE,1,2019,19-14030
Theft of Motor Vehicle,12500 88TH AVE,1,2019,19-2451
Theft of Motor Vehicle,150TH ST / 58TH AVE,1,2019,19-2695
Theft of Motor Vehicle,7400 SINCLAIR CRES,1,2019,19-8890
Theft of Motor Vehicle,5800 129TH ST,1,2019,19-11205
Theft of Motor Vehicle,13100 80TH AVE,1,2019,19-4686
Theft of Motor Vehicle,18600 60TH AVE,1,2019,19-2699
Theft of Motor Vehicle,5300 188A ST,1,2019,19-7854
Theft of Motor Vehicle,60TH AVE / GREENSIDE DR S,1,2019,19-13508
Theft of Motor Vehicle,9400 190TH ST,1,2019,19-14052
Theft of Motor Vehicle,18800 64TH AVE,1,2019,19-15047
Theft of Motor Vehicle,19300 56TH AVE,1,2019,19-8868
Theft of Motor Vehicle,5800 175TH ST,1,2019,19-9224
Theft of Motor Vehicle,6100 190TH ST,1,2019,19-2264
Theft of Motor Vehicle,16600 64TH AVE,1,2019,19-977
Theft of Motor Vehicle,19400 72ND AVE,1,2019,19-2658
Theft of Motor Vehicle,19500 66TH AVE,1,2019,19-2671
Theft of Motor Vehicle,6800 189TH ST,1,2019,19-4102
Theft of Motor Vehicle,19400 70A AVE,1,2019,19-4586
Theft of Motor Vehicle,64TH AVE / MALL ACCESS,1,2019,19-5767
Theft of Motor Vehicle,64TH AVE / 184TH ST,1,2019,19-9208
Theft of Motor Vehicle,4900 152ND ST,1,2019,19-9961
Theft of Motor Vehicle,19400 70A AVE,1,2019,19-10913
Theft of Motor Vehicle,16500 62A AVE,1,2019,19-10926
Theft of Motor Vehicle,16900 61ST AVE,1,2019,19-11388
Theft of Motor Vehicle,192ND ST / 90TH AVE,1,2019,19-15173
Theft of Motor Vehicle,19000 95A AVE,1,2019,19-15482
Theft of Motor Vehicle,64TH AVE / 164TH ST,1,2019,19-678
Theft of Motor Vehicle,16500 BELL RD,1,2019,19-1105
Theft of Motor Vehicle,16500 63B AVE,1,2019,19-1603
Theft of Motor Vehicle,6200 171ST ST,1,2019,19-1617
Theft of Motor Vehicle,80TH AVE / 170A ST,1,2019,19-1663
Theft of Motor Vehicle,7000 189TH ST,1,2019,19-9979
Theft of Motor Vehicle,68TH AVE / 193B ST,1,2019,19-10359
Theft of Motor Vehicle,17700 96TH AVE,1,2019,19-13411
Theft of Motor Vehicle,5900 ENTERPRISE WAY,1,2019,19-11370
Theft of Motor Vehicle,12700 27A AVE,1,2019,19-5132
Theft of Motor Vehicle,40TH AVE / KING GEORGE BLVD,1,2019,19-7605
Theft of Motor Vehicle,3500 150A ST,1,2019,19-10973
Theft of Motor Vehicle,3600 142ND ST,1,2019,19-15065
Theft of Motor Vehicle,2600 127TH ST,1,2019,19-569
Theft of Motor Vehicle,12800 26TH AVE,1,2019,19-655
Theft of Motor Vehicle,1000 165TH ST,1,2019,19-3575
Theft of Motor Vehicle,2300 174TH ST,1,2019,19-5186
Theft of Motor Vehicle,14900 34B AVE,1,2019,19-10588
Theft of Motor Vehicle,KING GEORGE BLVD / NICOMEKL RD,1,2019,19-12145
Theft of Motor Vehicle,40TH AVE / 192ND ST,1,2019,19-7794
Theft of Motor Vehicle,130TH ST / 17TH AVE,1,2019,19-1790
Theft of Motor Vehicle,16800 18TH AVE,1,2019,19-4657
Theft of Motor Vehicle,13900 16TH AVE,1,2019,19-11094
Theft from Motor Vehicle,13000 112A AVE,1,2019,19-345
Theft from Motor Vehicle,10700 139TH ST,1,2019,19-591
Theft from Motor Vehicle,11000 SCOTT RD,1,2019,19-1779
Theft from Motor Vehicle,10600 SPAN RD,1,2019,19-1919
Theft from Motor Vehicle,12500 110TH AVE,1,2019,19-1970
Theft from Motor Vehicle,9200 121ST ST,1,2019,19-2203
Theft from Motor Vehicle,13700 BENTLEY RD,1,2019,19-2208
Theft from Motor Vehicle,121ST ST / 93A AVE,1,2019,19-2211
Theft from Motor Vehicle,13800 GROSVENOR RD,1,2019,19-2221
Theft from Motor Vehicle,10800 131A ST,1,2019,19-2236
Theft from Motor Vehicle,13900 LAUREL DR,1,2019,19-2257
Theft from Motor Vehicle,13500 GATEWAY DR,1,2019,19-2265
Theft from Motor Vehicle,13700 101ST AVE,1,2019,19-2443
Theft from Motor Vehicle,10000 133RD ST,1,2019,19-2682
Theft from Motor Vehicle,10200 128TH ST,1,2019,19-2692
Theft from Motor Vehicle,104TH AVE / KING GEORGE BLVD,1,2019,19-2867
Theft from Motor Vehicle,11300 133A ST,1,2019,19-3087
Theft from Motor Vehicle,10700 127A ST,1,2019,19-3118
Theft from Motor Vehicle,13500 GATEWAY DR,1,2019,19-3214
Theft from Motor Vehicle,13000 97TH AVE,1,2019,19-3685
Theft from Motor Vehicle,13500 GATEWAY DR,1,2019,19-3762
Theft from Motor Vehicle,125TH ST / 110TH AVE,1,2019,19-3781
Theft from Motor Vehicle,13500 105TH AVE,1,2019,19-3849
