INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER
Break and Enter - Business,11000 124TH ST,1,2020,20-680
Break and Enter - Business,13900 104TH AVE,1,2020,20-1128
Break and Enter - Business,11100 SCOTT RD,1,2020,20-1173
Break and Enter - Business,10500 UNIVERSITY DR,1,2020,20-1191
Break and Enter - Business,10400 138TH ST,1,2020,20-1298
Break and Enter - Business,10300 CITY PKWY,1,2020,20-1749
Break and Enter - Business,13600 105TH AVE,1,2020,20-2221
Break and Enter - Business,10300 CITY PKWY,1,2020,20-2452
Break and Enter - Business,12300 BLOCK MUSQUEAM DR,1,2020,20-2626
Break and Enter - Business,10700 138TH ST,1,2020,20-2690
Break and Enter - Business,12900 115TH AVE,1,2020,20-3188
Break and Enter - Business,10400 138TH ST,1,2020,20-3244
Break and Enter - Business,12600 110TH AVE,1,2020,20-3475
Break and Enter - Business,10400 138TH ST,1,2020,20-3665
Break and Enter - Business,10800 CITY PKWY,1,2020,20-3697
Break and Enter - Business,13500 106TH AVE,1,2020,20-3708
Break and Enter - Business,10500 UNIVERSITY DR,1,2020,20-3804
Break and Enter - Business,10200 133RD ST,1,2020,20-4133
Break and Enter - Business,13600 100TH AVE,1,2020,20-6072
Break and Enter - Business,11800 103A AVE,1,2020,20-6673
Break and Enter - Business,10600 140TH ST,1,2020,20-6780
Break and Enter - Business,10500 140TH ST,1,2020,20-7464
Break and Enter - Business,13600 100TH AVE,1,2020,20-8005
Break and Enter - Business,13900 101ST AVE,1,2020,20-8144
Break and Enter - Business,13200 108TH AVE,1,2020,20-8292
Break and Enter - Business,10800 CITY PKWY,1,2020,20-8334
Break and Enter - Business,12300 PATTULLO PL,1,2020,20-8517
Break and Enter - Business,13600 94A AVE,1,2020,20-9247
Break and Enter - Business,11000 OLSEN RD,1,2020,20-9516
Break and Enter - Business,10400 132ND ST,1,2020,20-9860
Break and Enter - Business,10200 CITY PKWY,1,2020,20-10230
Break and Enter - Business,10400 138TH ST,1,2020,20-10567
Break and Enter - Business,13600 100TH AVE,1,2020,20-10686
Break and Enter - Business,12600 110TH AVE,1,2020,20-10947
Break and Enter - Business,11300 BRIDGEVIEW DR,1,2020,20-11490
Break and Enter - Business,13500 96TH AVE,1,2020,20-12756
Break and Enter - Business,11100 SCOTT RD,1,2020,20-12759
Break and Enter - Business,13500 106TH AVE,1,2020,20-13642
Break and Enter - Business,10600 138TH ST,1,2020,20-13664
Break and Enter - Business,13300 104TH AVE,1,2020,20-13707
Break and Enter - Business,10700 CITY PKWY,1,2020,20-14149
Break and Enter - Business,9400 KING GEORGE BLVD,1,2020,20-14182
Break and Enter - Business,10200 133RD ST,1,2020,20-14235
Break and Enter - Business,10300 SCOTT RD,1,2020,20-14662
Break and Enter - Business,9900 138TH ST,1,2020,20-14907
Break and Enter - Residence,13300 104TH AVE,1,2020,20-426
Break and Enter - Residence,12900 88TH AVE,1,2020,20-1215
Break and Enter - Residence,13200 OLD YALE RD,1,2020,20-1896
Break and Enter - Residence,12600 KING GEORGE BLVD,1,2020,20-3034
Break and Enter - Residence,10800 CITY PKWY,1,2020,20-3771
Break and Enter - Residence,13200 104TH AVE,1,2020,20-3842
Break and Enter - Residence,13200 105TH AVE,1,2020,20-4320
Break and Enter - Residence,12800 114A AVE,1,2020,20-4501
Break and Enter - Residence,10100 WHALLEY BLVD,1,2020,20-6603
Break and Enter - Residence,10800 133A ST,1,2020,20-6634
Break and Enter - Residence,9400 135TH ST,1,2020,20-8323
Break and Enter - Residence,13300 105TH AVE,1,2020,20-9485
Break and Enter - Residence,13300 114TH AVE,1,2020,20-11035
Break and Enter - Residence,12600 112A AVE,1,2020,20-488
Break and Enter - Business,7500 156TH ST,1,2020,20-856
Break and Enter - Business,15900 96TH AVE,1,2020,20-1253
Break and Enter - Business,10300 152ND ST,1,2020,20-1806
Break and Enter - Business,14300 104TH AVE,1,2020,20-2212
Break and Enter - Business,15200 101ST AVE,1,2020,20-4860
Break and Enter - Business,8900 152ND ST,1,2020,20-4982
Break and Enter - Business,14800 108A AVE,1,2020,20-8482
Break and Enter - Business,14300 104TH AVE,1,2020,20-8941
Break and Enter - Business,14900 102A AVE,1,2020,20-8989
Break and Enter - Business,15300 104TH AVE,1,2020,20-9352
Break and Enter - Business,10600 140TH ST,1,2020,20-9569
Break and Enter - Business,14500 116A AVE,1,2020,20-9890
Break and Enter - Business,14800 104TH AVE,1,2020,20-12042
Break and Enter - Business,14900 104TH AVE,1,2020,20-13816
Break and Enter - Business,10300 152ND ST,1,2020,20-14999
Break and Enter - Residence,15800 112TH AVE,1,2020,20-2017
Break and Enter - Residence,14800 101A AVE,1,2020,20-2933
Break and Enter - Residence,15400 82ND AVE,1,2020,20-4679
Break and Enter - Residence,14800 103A AVE,1,2020,20-5133
Break and Enter - Residence,8600 156TH ST,1,2020,20-6660
Break and Enter - Residence,15800 99TH AVE,1,2020,20-7201
Break and Enter - Residence,15700 98TH AVE,1,2020,20-9048
Break and Enter - Residence,14300 108TH AVE,1,2020,20-9525
Break and Enter - Residence,15000 88TH AVE,1,2020,20-9876
Break and Enter - Residence,9000 164TH ST,1,2020,20-10641
Break and Enter - Residence,14800 100TH AVE,1,2020,20-16115
Break and Enter - Residence,14900 104TH AVE,1,2020,20-16158
Break and Enter - Business,13100 80TH AVE,1,2020,20-1670
Break and Enter - Business,13500 84TH AVE,1,2020,20-2270
Break and Enter - Business,7800 132ND ST,1,2020,20-2865
Break and Enter - Business,7400 140TH ST,1,2020,20-3789
Break and Enter - Business,7400 135TH ST,1,2020,20-3840
Break and Enter - Business,6000 156TH ST,1,2020,20-4502
Break and Enter - Business,8100 128TH ST,1,2020,20-6460
Break and Enter - Business,12800 85TH AVE,1,2020,20-6596
Break and Enter - Business,7500 132ND ST,1,2020,20-6759
Break and Enter - Business,13000 76TH AVE,1,2020,20-7067
Break and Enter - Business,13700 72ND AVE,1,2020,20-7125
Break and Enter - Business,8000 128TH ST,1,2020,20-7972
Break and Enter - Business,8100 120A ST,1,2020,20-8043
Break and Enter - Business,8000 120A ST,1,2020,20-10446
Break and Enter - Business,15100 56TH AVE,1,2020,20-10943
Break and Enter - Business,13500 72ND AVE,1,2020,20-13123
Break and Enter - Business,14700 64TH AVE,1,2020,20-13296
Break and Enter - Business,6300 KING GEORGE BLVD,1,2020,20-13755
Break and Enter - Business,8100 128TH ST,1,2020,20-14305
Break and Enter - Business,14700 64TH AVE,1,2020,20-14439
Break and Enter - Business,12800 72ND AVE,1,2020,20-14727
Break and Enter - Business,13400 71ST AVE,1,2020,20-15333
Break and Enter - Business,8600 KING GEORGE BLVD,1,2020,20-15472
Break and Enter - Business,7100 HALL RD,1,2020,20-15971
Break and Enter - Business,12000 80TH AVE,1,2020,20-1190
Break and Enter - Residence,13300 70B AVE,1,2020,20-1293
Break and Enter - Residence,6200 130B ST,1,2020,20-1475
Break and Enter - Residence,7000 141ST ST,1,2020,20-3293
Break and Enter - Residence,14900 61A AVE,1,2020,20-3362
Break and Enter - Residence,14800 72ND AVE,1,2020,20-3398
Break and Enter - Residence,13600 76TH AVE,1,2020,20-9353
Break and Enter - Residence,12300 57A AVE,1,2020,20-9460
Break and Enter - Residence,13400 78A AVE,1,2020,20-9677
Break and Enter - Residence,7500 143RD ST,1,2020,20-11686
Break and Enter - Residence,6200 134TH ST,1,2020,20-12021
Break and Enter - Residence,14800 57A AVE,1,2020,20-15805
Break and Enter - Residence,7000 150TH ST,1,2020,20-16582
Break and Enter - Residence,5900 131A ST,1,2020,20-16882
Break and Enter - Business,5500 192ND ST,1,2020,20-133
Break and Enter - Business,18500 96TH AVE,1,2020,20-2633
Break and Enter - Business,19400 96TH AVE,1,2020,20-3154
Break and Enter - Business,19400 54TH AVE,1,2020,20-3169
Break and Enter - Business,17600 96TH AVE,1,2020,20-3339
Break and Enter - Business,17700 57TH AVE,1,2020,20-6047
Break and Enter - Business,19000 54TH AVE,1,2020,20-6369
Break and Enter - Business,9400 189TH ST,1,2020,20-6463
Break and Enter - Business,19000 54TH AVE,1,2020,20-7472
Break and Enter - Business,5900 177B ST,1,2020,20-8605
Break and Enter - Business,19500 LANGLEY BPS,1,2020,20-9835
Break and Enter - Business,17700 58A AVE,1,2020,20-10002
Break and Enter - Business,6400 168TH ST,1,2020,20-10939
Break and Enter - Business,17500 55B AVE,1,2020,20-11028
Break and Enter - Business,17600 JAMES HILL DR,1,2020,20-13061
Break and Enter - Business,5800 177B ST,1,2020,20-15250
Break and Enter - Business,60500 176TH ST,1,2020,20-15266
Break and Enter - Business,17700 58A AVE,1,2020,20-15277
Break and Enter - Business,9700 186TH ST,1,2020,20-15834
Break and Enter - Business,5900 176A ST,1,2020,20-16117
Break and Enter - Residence,18300 60TH AVE,1,2020,20-2187
Break and Enter - Residence,7000 193RD ST,1,2020,20-2826
Break and Enter - Residence,19300 63A AVE,1,2020,20-4392
Break and Enter - Residence,6400 172ND ST,1,2020,20-4640
Break and Enter - Residence,19200 71ST AVE,1,2020,20-6753
Break and Enter - Residence,18900 69A AVE,1,2020,20-8551
Break and Enter - Residence,17300 64TH AVE,1,2020,20-8699
Break and Enter - Residence,6100 168TH ST,1,2020,20-8982
Break and Enter - Residence,16700 63B AVE,1,2020,20-10407
Break and Enter - Residence,9800 LYNCEAN DR,1,2020,20-11454
Break and Enter - Residence,17700 57TH AVE,1,2020,20-14802
Break and Enter - Residence,17400 61B AVE,1,2020,20-15143
Break and Enter - Residence,5900 176A ST,1,2020,20-15320
Break and Enter - Residence,19300 62A AVE,1,2020,20-15756
Break and Enter - Residence,19400 63A AVE,1,2020,20-16958
Break and Enter - Business,15300 31ST AVE,1,2020,20-1186
