Time,Robbery Under 18,Robbery 18 and older,Aggravated assault Under 18,Aggravated assault 18 and older,Sexual assault Under 18,Sexual assault 18 and older
6AM,11.4,16.7,9,15.5,10,17
7AM,10.7,15,21.1,18.7,23.3,19
8AM,11.8,17.2,27.6,25.7,83.1,53.1
9AM,14.4,24.5,29.3,27.4,52.4,40.1
10AM,21.1,29.1,34.5,32.9,50.3,42.1
11AM,26.4,33.2,44.5,35,50.7,39.5
12PM,39.3,38.2,54.2,41.4,106.9,76.1
1PM,32.6,38.5,50.3,38.3,61.3,44.7
2PM,47.5,42.6,61.3,41.4,65.8,47.6
3PM,67.7,46.3,79.1,46.6,80.1,53.7
4PM,75.9,46.1,75.2,50.6,65.3,47.7
5PM,64.3,48.1,66.8,54.2,53.3,47.7
6PM,66,52.7,78.3,58.3,48.2,46.2
7PM,73,56.9,71.6,59.4,41.1,41
8PM,80.1,64.1,65.5,63.3,43.7,49
9PM,83.4,72,59.6,61.8,34.4,47.4
10PM,71.6,67.1,45.1,62.4,30.8,50.4
11PM,56.5,61,36.6,56.2,25.6,46.9
12AM,45.2,56.1,29.7,52.7,22.1,43.1
1AM,33.9,51.2,22.9,49.3,18.5,39.3
2AM,25.5,46.2,14.4,42.7,11.5,39.5
3AM,17.4,32.7,10.8,30.1,9.6,30.4
4AM,14,23.6,7.9,20.7,6.4,22.2
5AM,10.1,20.9,4.6,15.2,5.4,16.3
6AM,11.4,16.7,9,15.5,10,17
